formatted_address,lat,long,name,place_id,rating,user_ratings_total,Suburb
"231 Whitehorse Rd, Balwyn VIC 3103, Australia",-37.8120233,145.075539,Palace Balwyn Cinema,ChIJRc73aT5B1moRerd1316Fxyo,4.4,1215,Balwyn
"294 Bay St, Brighton VIC 3186, Australia",-37.9055487,145.0019644,Palace Brighton Bay,ChIJA1MCLtlo1moRhUkCouq09eI,4.5,471,Brighton
"Toorak Rd &, Chapel St, South Yarra VIC 3141, Australia",-37.8395018,144.9956156,Palace Cinema Como,ChIJLfPsDoNC1moR_gZ8EX5rMUQ,4.5,714,South Yarra
"26 Church St, Brighton VIC 3186, Australia",-37.9132187,144.9926905,Palace Dendy Brighton,ChIJv10SlM1o1moRdVXCF4HK8NI,4.3,544,Brighton
"89 High St, Northcote VIC 3070, Australia",-37.7799601,144.9967532,Palace Westgarth Cinemas,ChIJcWRMqXFD1moRjVC7THJ4nxM,4.6,1294,Northcote
"56 Nolan St, Maryborough VIC 3465, Australia",-37.0485511,143.7393359,Paramount Theatre,ChIJZTgUYx7e0GoR36WQ2DaHApI,4.7,172,Maryborough
"Rosebud Parade, Rosebud VIC 3939, Australia",-38.3563332,144.9058896,Peninsula Cinemas,ChIJmYQzphDJ1WoRIMuqS-rV2yI,4.2,439,Rosebud
"26 Ocean Beach Rd, Sorrento VIC 3943, Australia",-38.3389286,144.7404638,Peninsula Cinemas Sorrento,ChIJodn9cJ011GoRPaUrkfFsiSc,4.3,134,Sorrento
"Cinema Arcade, Victoria St, Warragul VIC 3820, Australia",-38.162016,145.9308337,Peninsula Cinemas Warragul,ChIJd676pfyVKWsRfYsOOZ-aWEs,4.1,386,Warragul
"1 Champ St, Coburg VIC 3058, Australia",-37.7365064,144.9691688,Pentridge,ChIJLV2Ej8lE1moRqBCb0thpXaw,4.5,792,Coburg
"1 Champ St, Coburg VIC 3058, Australia",-37.7367742,144.9690561,Pentridge Prison Cinemas,ChIJd8Oh-51F1moRv7UOWn6BYRo,4.5,457,Coburg
"2 Centreway, Mount Waverley VIC 3149, Australia",-37.8914728,145.1432526,Pinewood Shopping Village,ChIJf-5-w_0_1moR_yG6jNB9aLU,4.1,137,Mount Waverley
"Cnr Pioneer Rd &, Princes Hwy, Waurn Ponds VIC 3216, Australia",-38.2004752,144.3202977,Reading Cinemas,ChIJaa2xmhsU1GoRCVnb9qltDzM,4.5,1185,Waurn Ponds
"49-55 Walker St, cnr McCrae St, Dandenong VIC 3175, Australia",-37.9867468,145.217711,Reading Cinemas,ChIJQT0qvHMU1moRp_F5Z0MIbmE,4.3,958,Dandenong
"239-241 Maroondah Hwy, Chirnside Park VIC 3116, Australia",-37.7604138,145.3101348,Reading Cinemas,ChIJ6Z84y9Qx1moR19DRUlLwf-8,4.5,679,Chirnside Park
"Shop Q005, Cooper St, Epping VIC 3076, Australia",-37.652671,145.0201632,Reading Cinemas,ChIJhX4zE-lO1moRRRUnGh5SpfA,4.3,1267,Epping
"70 Middleborough Rd, Burwood East VIC 3151, Australia",-37.848911,145.1331374,Reading Cinemas Burwood,ChIJm6IHU8JB1moRkrG4RzQNEkI,4.8,447,Burwood East
"533-555 High St, Melton VIC 3337, Australia",-37.6863518,144.5635053,Reading Cinemas Melton,ChIJC8bkAtjs1moRTI-UosO4LJ4,4.4,944,Melton
"22 Hunter Rd, Altona North VIC 3025, Australia",-37.8427717,144.8429691,Reading Cinemas Millers Junction,ChIJj9XFGqdh1moRwhP9hoxUbWA,4.8,321,Altona North
