,Suburb/Town Name,lat,lng,Closest Hospital,Closest Cinema,Distance to CBD,Number of hospitals,Number of cinemas
30,Almurta,-38.45543,145.5848,16.9023119,31.33712308,89.87854632,0,0
31,Alphington,-37.77809,145.03221,1.335582443,3.123092942,7.235951607,0,0
32,Altona,-37.86238,144.82227,0.954088091,2.838427369,13.48868946,1,0
33,Altona Meadows,-37.88002,144.7811,4.311906076,6.830410416,17.59200158,0,0
34,Altona North,-37.83848,144.82824,3.446874376,1.378633458,12.11948288,0,1
35,Alvie,-38.23278,143.4983,14.12665517,14.38844194,136.4855773,0,0
36,Amherst,-37.13899,143.65603,12.74260281,12.47894918,137.4467895,0,0
37,Amor,-37.94005,146.40153,30.67275861,30.5965315,127.1241447,0,0
38,Amphitheatre,-37.20031,143.41129,25.77171194,33.6250377,152.7959538,0,0
39,Anakie,-37.94427,144.27904,24.02115702,23.97463317,61.72787595,0,0
40,Ancona,-36.96734,145.80296,26.34195998,27.42731841,119.7740643,0,0
41,Anderson,-38.52327,145.44819,14.90988653,43.46512204,89.74250138,0,0
42,Anglers Rest,-37.01885,147.47066,14.28047559,55.75183972,238.4518578,0,0
43,Anglesea,-38.37935,144.1607,21.48982443,24.02415529,94.30820295,0,0
44,Annuello,-34.85264,142.84647,30.44852586,84.52795084,379.7466986,0,0
45,Antwerp,-36.27213,141.97461,29.42123919,53.30126393,315.6369151,0,0
46,Apollo Bay,-38.73609,143.64605,44.2511678,3.466132299,154.1083889,0,1
47,Appin,-35.87843,143.87281,17.64954365,63.99628816,235.8782119,0,0
48,Appin South,-35.9305,143.86711,23.41476501,59.81136527,230.8118502,0,0
49,Apsley,-36.97906,141.09129,18.61546396,102.9912302,354.2568347,0,0
50,Ararat,-37.26581,142.97973,4.421323791,71.51983006,185.0552889,1,0
51,Arawata,-38.39477,145.87869,12.06364256,10.58449002,103.0745485,0,0
52,Arcadia,-36.5561,145.35359,21.87335,20.02795476,143.9283679,0,0
53,Arcadia South,-36.59174,145.37509,25.49297511,23.64548646,140.5665865,0,0
54,Archdale,-36.83632,143.51161,30.70461632,31.08861503,168.0183386,0,0
55,Archdale Junction,-36.88745,143.51106,26.7036115,27.05903341,164.4073719,0,0
56,Archerton,-36.87342,146.2114,23.30726096,22.60644462,151.9695251,0,0
57,Archies Creek,-38.54826,145.56408,6.754079216,34.02948291,97.27935109,0,0
58,Ardeer,-37.77549,144.80298,1.98967793,2.583185715,14.57944671,0,0
59,Ardmona,-36.37938,145.2983,9.669153735,9.239645469,162.1044679,0,0
60,Areegra,-36.23657,142.68732,27.44870117,59.4606368,267.3553574,0,0
61,Argyle,-36.96735,144.717,4.661442891,45.20590383,96.42612583,0,0
62,Armadale,-37.8576,145.01992,1.036024319,2.435720711,7.140653072,0,0
63,Armstrong,-37.21342,142.8833,8.51497849,78.07105068,195.0775924,0,0
64,Armstrong Creek,-38.23449,144.37535,6.008613004,6.118565399,69.61100621,0,0
65,Arnold,-36.67211,143.85738,11.20827083,35.47319584,160.1238947,0,0
66,Arnold West,-36.65998,143.78755,12.43915573,41.83300799,165.0223402,0,0
67,Arthurs Creek,-37.56704,145.20291,17.52190261,14.96077315,34.53584428,0,0
68,Arthurs Seat,-38.3614,144.96049,6.223719194,4.718782869,61.0501758,0,0
69,Ascot,-37.39784,143.81059,16.0244777,18.53419146,111.4279182,0,0
70,Ascot Vale,-37.77984,144.91646,1.134851708,2.507733621,5.40706406,1,0
71,Ashbourne,-37.41165,144.45891,28.89729068,30.14210386,62.85468892,0,0
72,Ashburton,-37.86702,145.07761,1.493149111,2.043763939,11.81666353,0,0
73,Ashwood,-37.86571,145.10239,1.220302477,2.649559313,13.6647665,0,0
74,Aspendale,-38.02208,145.10147,4.307682204,3.497827235,26.32547804,0,0
75,Aspendale Gardens,-38.02291,145.11898,5.409550235,3.591139116,27.1519722,0,0
76,Athlone,-38.24345,145.78571,14.68624098,15.58201849,86.60474097,0,0
77,Attwood,-37.66714,144.88338,3.218190356,3.427650128,17.57297555,0,0
78,Aubrey,-36.22877,142.2192,14.8236442,54.15873342,300.4942562,0,0
79,Auchmore,-36.47401,144.10549,23.39482703,30.0077536,167.070239,0,0
80,Avalon,-38.04659,144.44637,13.36922555,13.71295689,52.20342357,0,0
81,Avenel,-36.93038,145.29116,16.7240258,31.89983286,102.2893886,0,0
82,Avoca,-37.06962,143.47286,23.69012956,23.76154694,155.2720426,0,0
83,Avon Plains,-36.5365,142.92295,30.03248315,48.41063728,229.7100555,0,0
84,Avondale Heights,-37.76295,144.8649,2.416348478,2.420824315,10.16410657,0,0
85,Avonmore,-36.53492,144.54325,23.34527655,33.01117668,146.8148791,0,0
86,Avonsleigh,-37.91375,145.48884,15.45581549,11.99945567,47.58573324,0,0
87,Axe Creek,-36.86356,144.39347,14.91680224,15.17048137,116.8705104,0,0
88,Axedale,-36.7718,144.52769,22.10265708,22.3463171,121.9226616,0,0
89,Ayrford,-38.437,142.85333,12.04052854,32.94902619,197.1074269,0,0
90,Bacchus Marsh,-37.67833,144.44715,1.118362066,10.27815991,47.67630903,1,0
91,Baddaginnie,-36.60319,145.86982,12.35624301,19.72285536,156.6460473,0,0
92,Badger Creek,-37.68797,145.53809,4.633559988,21.60670521,52.48718855,0,0
93,Bael Bael,-35.68219,143.7328,17.40074385,41.06944729,260.9590206,0,0
94,Bagshot,-36.65389,144.39057,14.46115378,14.2780566,138.4000447,0,0
95,Bagshot North,-36.58697,144.41746,21.81096549,20.72409437,144.5469042,0,0
96,Bahgallah,-37.69548,141.33855,12.63387898,60.56112931,318.8224044,0,0
97,Bailieston,-36.75527,145.08275,6.65015727,43.66659939,118.0262864,0,0
98,Bairnsdale,-37.85346,147.58099,3.414432367,5.036951856,230.0247977,1,1
99,Bakery Hill,-37.56343,143.86586,1.717287908,0.792575187,100.3641813,0,0
100,Balaclava,-37.87069,144.99485,0.746639254,1.43973111,7.090744327,0,0
101,Bald Hills,-37.44503,143.83538,10.66660377,12.96433962,107.3100956,0,0
102,Balintore,-38.28193,143.56751,6.724652658,6.923119348,132.8198674,0,0
103,Ballan,-37.60383,144.21976,0.515184607,31.62553821,69.3071528,1,0
104,Ballangeich,-38.18634,142.61497,23.81269114,24.79341033,209.828678,0,0
105,Ballarat Central,-37.55963,143.8507,0.334337475,0.630501893,101.7653582,0,1
106,Ballarat East,-37.56567,143.88635,3.514991197,2.586694135,98.56141002,0,0
107,Ballarat North,-37.53726,143.86527,2.752235056,2.640200026,101.2710818,0,0
108,Ballendella,-36.2932,144.6694,8.469256808,19.49462035,170.9098668,0,0
109,Balliang,-37.82128,144.35299,17.46765666,23.82507103,53.52343252,0,0
110,Balliang East,-37.81865,144.43147,15.64164835,18.73929777,46.62657332,0,0
111,Ballyrogan,-37.4282,143.07509,20.81306988,66.93421603,171.6050665,0,0
112,Balmattum,-36.70996,145.66418,10.00316855,9.438592394,137.4236608,0,0
113,Balmoral,-37.21323,141.82208,44.47832339,61.47844884,284.8485322,0,0
114,Balnarring,-38.36069,145.12367,8.620032567,11.59891571,62.58716295,0,0
115,Balnarring Beach,-38.39194,145.1213,11.53463098,12.8794643,65.9321962,0,0
116,Balook,-38.42236,146.5525,18.55547666,23.29509323,154.7734234,0,0
117,Balwyn,-37.80995,145.08311,2.017181723,0.70392101,10.62448918,0,1
118,Balwyn North,-37.79078,145.08524,2.03307197,2.511214494,11.07285314,0,0
119,Bamawm,-36.27037,144.64567,11.60002145,18.14715308,173.7479986,0,0
120,Bamawm Extension,-36.17761,144.60354,13.67404022,14.08495057,184.5456374,0,0
121,Bambra,-38.3616,143.95219,13.45451829,19.85529783,107.4398521,0,0
122,Bamganie,-37.93957,143.99541,33.80286366,39.65204868,86.02689682,0,0
123,Bandiana,-36.13127,146.92081,4.074284049,58.81841504,255.363306,0,0
124,Bangerang,-36.19756,142.58147,18.91404488,66.90704069,277.3501701,0,0
125,Bangholme,-38.04673,145.17199,8.19235318,6.644478411,31.9010362,0,0
126,Bannerton,-34.73779,142.79209,17.11913581,96.7874506,393.3184368,0,0
127,Bannockburn,-38.04904,144.15811,20.82814801,21.00345719,75.27376066,0,0
128,Banyan,-35.61286,142.78808,73.78758112,75.99355139,312.0263081,0,0
129,Banyena,-36.63951,142.79466,40.48079584,53.62052041,232.0215102,0,0
130,Baranduda,-36.18457,146.96049,9.144679274,59.93245781,253.4697232,0,0
131,Barfold,-37.10357,144.50155,26.2931319,42.71236315,88.68437114,0,0
132,Baringhup,-36.97665,143.97094,8.439493818,22.06351845,127.6851399,0,0
133,Baringhup West,-36.96278,143.89891,15.02063773,17.08049482,133.2253555,0,0
134,Barjarg,-36.91979,146.00163,17.04950023,16.88800759,135.2331503,0,0
135,Barkers Creek,-37.00946,144.23291,5.326828509,27.57876512,110.0887821,0,0
136,Barkly,-36.95011,143.21903,37.95140244,47.48456792,181.4207053,0,0
137,Barkstead,-37.47812,144.09714,16.21346828,22.99873048,84.74857361,0,0
138,Barmah,-35.95003,144.97837,22.99668271,28.7442372,207.0871081,0,0
139,Barnadown,-36.6501,144.52847,24.70078101,25.74471367,134.8216101,0,0
140,Barnawartha,-36.08079,146.67251,19.39024804,43.45605642,245.2911631,0,0
141,Barnawartha North,-36.0794,146.7555,12.6735254,49.15808147,250.0467736,0,0
142,Baromi,-38.40362,146.17639,21.75533506,21.75730296,124.9296596,0,0
143,Barongarook,-38.42778,143.61413,10.00807053,9.797830791,136.342754,0,0
144,Barongarook West,-38.43464,143.54529,10.88278569,10.82486355,141.9485551,0,0
145,Barrabool,-38.16605,144.22763,11.47867704,8.958475758,75.43737338,0,0
146,Barrakee,-36.26521,143.44875,30.26286192,8.928437354,218.2618182,0,0
147,Barramunga,-38.58182,143.72264,29.3996349,20.3134246,138.0339335,0,0
148,Barraport,-35.99817,143.66888,13.70038006,41.56435786,232.1971776,0,0
149,Barraport West,-36.01867,143.52785,20.71886936,32.07759789,236.721826,0,0
150,Barrys Reef,-37.45546,144.31223,17.88795636,33.90548522,69.64828023,0,0
151,Barunah Park,-38.01319,143.82296,29.29023855,42.0929798,102.406231,0,0
152,Barunah Plains,-38.04777,143.77039,28.76731751,36.54123394,107.7565426,0,0
153,Barwidgee,-36.51193,146.77269,6.202906868,29.21242876,215.9751281,0,0
154,Barwite,-37.00944,146.21744,12.83527231,12.10662194,142.3424355,0,0
155,Barwon Downs,-38.50767,143.79258,26.02153674,16.26638395,128.1972291,0,0
156,Barwon Heads,-38.27363,144.48863,13.12948258,16.8022661,65.95896595,0,0
157,Basalt,-37.30859,144.09659,5.38580513,35.0369572,94.65453963,0,0
158,Bass,-38.47707,145.4726,17.32395064,41.02355211,86.34273077,0,0
159,Batesford,-38.08873,144.27869,9.796102246,9.911148866,67.3511181,0,0
160,Bathumi,-36.02512,146.08516,7.225755126,42.43363956,222.3920665,0,0
161,Baw Baw,-37.83765,146.30085,36.72870586,44.68463435,117.6076109,0,0
162,Baxter,-38.19766,145.15309,4.665192332,5.344839187,45.99157872,0,0
163,Bayindeen,-37.30321,143.18286,22.29469663,56.85590794,166.7484569,0,0
164,Bayles,-38.17723,145.5845,9.102485574,30.22939579,67.96769621,0,0
165,Baynton,-37.13779,144.6372,24.41589914,49.75049405,80.30527796,0,0
166,Bayswater,-37.84631,145.26278,1.143308635,2.693931209,26.66671804,1,0
167,Bayswater North,-37.82616,145.28203,3.226674967,3.355783759,28.13456674,0,0
168,Beaconsfield,-38.03964,145.38483,3.423101833,7.423389855,44.86373957,0,0
169,Beaconsfield Upper,-37.99855,145.42478,7.888855543,10.7256958,45.5595954,0,0
170,Bealiba,-36.7688,143.55039,32.35369738,35.35329024,170.4764855,0,0
171,Bearii,-35.88351,145.34703,23.45280956,55.44058923,217.1943459,0,0
172,Bears Lagoon,-36.33823,143.94832,26.852455,50.08222087,186.9703841,0,0
173,Beauchamp,-35.64116,143.6237,28.17525504,33.86819781,269.2814051,0,0
174,Beaufort,-37.4404,143.33452,4.375685903,44.81192541,149.1913786,1,0
175,Beazleys Bridge,-36.70765,143.14151,14.3924252,52.24266776,202.6068129,0,0
176,Beeac,-38.17835,143.66526,19.49756036,19.53912812,120.7144381,0,0
177,Beech Forest,-38.63424,143.58652,32.58218756,15.82064685,150.9720347,0,0
178,Beechworth,-36.33392,146.65998,3.32327173,30.01787543,222.9563406,1,0
179,Beenak,-37.9008,145.62724,27.51060934,24.15357024,59.20802719,0,0
180,Belgrave,-37.91101,145.35595,3.951217988,0.370254026,36.26447655,0,1
181,Belgrave Heights,-37.92603,145.34355,4.012537284,1.983418124,35.78048386,0,0
182,Belgrave South,-37.94151,145.35658,6.068016089,3.576158439,37.47458962,0,0
183,Bell Post Hill,-38.09642,144.31988,6.932647298,6.958186057,64.56990496,0,0
184,Bellarine,-38.13211,144.6197,20.56647722,22.71347126,46.53442972,0,0
185,Bellbird Creek,-37.63645,148.81566,31.65999141,76.92429474,339.4550865,0,0
186,Bellbrae,-38.34169,144.23694,22.3696819,17.30659937,86.56966115,0,0
187,Bellbridge,-36.09798,147.05838,11.05445094,70.43584999,266.5033548,0,0
188,Bellellen,-37.13396,142.69213,11.46240226,63.80033094,214.0554463,0,0
189,Bellfield,-37.75299,145.03835,0.822937055,1.605929046,9.40028973,0,0
190,Bells Beach,-38.37674,144.26039,24.53440289,20.28516672,87.80702815,0,0
191,Belmont,-38.17986,144.34286,3.429251898,2.608976224,67.93545036,0,0
192,Bemm River,-37.71638,148.92832,40.73807717,83.92256272,348.7727038,0,0
193,Benalla,-36.57111,146.00681,2.05924182,19.4831186,166.1649146,1,0
194,Benambra,-36.8883,147.79543,29.26548548,76.39968632,270.6818633,0,0
195,Benayeo,-36.84324,141.046,30.35529386,103.8329583,362.6167819,0,0
196,Bend Of Islands,-37.7005,145.28588,8.468095903,6.995260323,31.05499549,0,0
197,Bendigo,-36.7562,144.28015,0.734070661,0.907001606,132.0343708,4,1
198,Bendoc,-37.18847,148.88004,67.80873751,109.2630261,352.4817048,0,0
199,Bengworden,-37.97445,147.44483,21.40354588,22.91091825,218.5878581,0,0
200,Benjeroop,-35.49071,143.81837,27.48284453,28.84282294,277.5843969,0,0
201,Benloch,-37.19833,144.6717,27.87171341,42.66124567,72.92789528,0,0
202,Bennison,-38.66592,146.26885,5.502912584,35.33318405,148.4250078,0,0
203,Bentleigh,-37.92267,145.03728,0.436643641,3.636277417,13.923683,1,0
204,Bentleigh East,-37.9222,145.06678,0.324212245,4.304968665,15.27828074,0,0
205,Benwerrin,-38.49115,143.90997,28.31841117,7.7957953,119.0046509,0,0
206,Beremboke,-37.78785,144.22633,20.92385789,31.72518581,64.71221468,0,0
207,Berrimal,-36.49808,143.46726,23.27198627,27.62703478,197.249863,0,0
208,Berringa,-37.77136,143.67874,27.78326724,22.85775695,112.8706299,0,0
209,Berringama,-36.1981,147.66652,21.19443583,86.19642738,299.7858245,0,0
210,Berriwillock,-35.64437,142.9622,63.50706575,63.61879641,299.7890929,0,0
211,Berrybank,-37.96764,143.49402,42.25782691,42.45039159,129.9896921,0,0
212,Berrys Creek,-38.41279,146.0662,13.04365657,12.71069369,117.4139236,0,0
213,Berwick,-38.0421,145.34952,0.440877303,4.766406771,42.50412371,4,0
214,Bessiebelle,-38.15756,141.93845,27.55768097,46.79195077,267.7570988,0,0
215,Bet Bet,-36.92338,143.75063,13.55767224,13.9544947,145.7213078,0,0
216,Bete Bolong,-37.68794,148.31088,13.70022251,34.77215378,294.726027,0,0
217,Bete Bolong North,-37.59583,148.29325,19.21745877,40.73912694,294.0207155,0,0
218,Bethanga,-36.15196,147.12066,8.878333213,65.4659594,266.1532129,0,0
219,Betley,-36.91809,143.795,14.98034123,15.32604935,143.275456,0,0
220,Beulah,-35.89978,142.39322,39.22252731,92.33792469,312.1786881,0,0
221,Beverford,-35.22378,143.46994,15.16064297,15.32639281,317.215297,0,0
222,Beveridge,-37.47561,144.96796,14.01476864,20.21880218,37.44878918,0,0
223,Big Desert,-35.64204,141.48137,78.48022981,135.7246008,392.9808235,0,0
224,Big Hill,-36.83476,144.23,8.569153737,8.916206229,126.524118,0,0
225,Big Pats Creek,-37.7638,145.76124,24.2185868,39.40995885,70.42249252,0,0
226,Biggara,-36.34191,147.99158,17.74505812,101.4962993,314.5522877,0,0
227,Bimbourie,-35.33561,142.76156,50.07771054,72.26429366,338.3009755,0,0
228,Bindi,-37.10919,147.82827,20.54573031,81.83408312,264.7624778,0,0
229,Binginwarri,-38.59432,146.44841,20.41458058,39.79318898,156.2805319,0,0
230,Bingo Munjie,-37.00787,147.56466,10.46887099,62.11528088,246.638421,0,0
231,Birchip,-35.99733,142.92549,56.46532818,48.55402559,271.1442114,0,0
232,Birchip West,-36.01417,142.82184,47.56978779,55.16086648,276.0088224,0,0
233,Birdwoodton,-34.19821,142.06771,7.318565533,186.2487692,478.7818892,0,0
234,Birregurra,-38.34351,143.83564,17.17321809,21.80813438,114.940751,0,0
235,Bittern,-38.33841,145.17921,4.006792399,15.95385384,61.50041466,0,0
236,Black Hill,-37.54998,143.87262,2.356554471,1.734937312,100.2259895,0,0
237,Black Range,-37.13369,142.76061,8.463028654,68.09066022,208.4224472,0,0
238,Black Rock,-37.97356,145.02278,1.45931196,3.18677108,18.69566392,0,0
239,Blackburn,-37.82155,145.15203,1.3355788,1.910423414,16.70552085,1,0
240,Blackburn North,-37.80459,145.15507,2.186157962,3.338048914,16.96528692,0,0
241,Blackburn South,-37.83926,145.14662,1.056020161,1.597883231,16.47089093,0,0
242,Blackwarry,-38.41288,146.63069,16.55947998,25.72050764,160.5166989,0,0
243,Blackwood,-37.48881,144.31509,14.79198213,31.0097203,67.38010299,0,0
244,Blairgowrie,-38.37085,144.76982,10.05157514,4.37622927,64.34255859,0,0
245,Blakeville,-37.47751,144.21091,13.62503696,32.47230876,75.90719872,0,0
246,Blampied,-37.35135,144.02464,10.79485281,27.5036396,97.22904796,0,0
247,Blind Bight,-38.21453,145.34106,12.42113999,16.83543546,55.68965785,0,0
248,Blowhard,-37.43243,143.78028,12.90545728,15.77358857,112.3398772,0,0
249,Bo Peep,-37.54275,143.67089,14.22634194,13.04920232,117.5312082,0,0
250,Bobinawarrah,-36.53531,146.48577,21.78751732,24.75781894,195.9186161,0,0
251,Bochara,-37.68869,141.89938,12.74835724,12.51696396,269.6226322,0,0
252,Bogong,-36.79725,147.22345,47.15199351,24.63173751,229.6435293,0,0
253,Boho,-36.66935,145.78345,21.46898444,20.94771998,146.4180995,0,0
254,Boho South,-36.77251,145.82299,22.54871116,16.08495154,138.4458586,0,0
255,Boigbeat,-35.56247,142.94327,60.75482917,60.88921876,308.1963174,0,0
256,Boinka,-35.15761,141.56711,68.42583573,181.952289,423.3402066,0,0
257,Boisdale,-37.85671,146.93129,18.54264118,30.18281133,172.9922223,0,0
258,Bolinda,-37.43818,144.77257,15.83145017,16.20864612,44.83410935,0,0
259,Bolton,-34.96158,142.93323,44.20722882,70.78959264,365.3116451,0,0
260,Bolwarra,-38.28098,141.61536,6.755060254,69.8093407,297.6517467,0,0
261,Bolwarrah,-37.50896,144.11105,14.07799929,23.04669374,82.16931578,0,0
262,Bona Vista,-38.20672,145.96487,4.959905862,5.793023097,98.18038555,0,0
263,Bonang,-37.1491,148.66249,63.88008515,100.0104812,334.7119862,0,0
264,Bonbeach,-38.06295,145.12788,9.22756781,8.109134985,31.42432415,0,0
265,Bonegilla,-36.14448,146.9889,8.649222512,63.85589101,258.4548199,0,0
266,Boneo,-38.40841,144.90571,5.356911967,5.790697116,66.46132624,0,0
267,Bonn,-36.4131,144.71819,5.561795141,31.59435691,157.0882101,0,0
268,Bonnie Doon,-37.01414,145.88239,18.70422728,19.1527946,120.3433308,0,0
269,Bonshaw,-37.60375,143.81498,5.63321399,1.569800737,103.5529031,0,0
270,Bookaar,-38.11061,143.10893,14.28965894,48.97698628,165.8214403,0,0
271,Boola,-38.04888,146.46503,18.87586699,17.28617206,134.402549,0,0
272,Boolarong,-38.56543,146.25613,11.25459092,28.96400795,140.7098965,0,0
273,Boolarra,-38.38256,146.26656,22.84561453,21.50625558,130.5646205,0,0
274,Boolarra South,-38.4604,146.28695,23.1533222,27.76208981,136.4391791,0,0
275,Boole Poole,-37.91165,147.78578,18.00292536,16.67414247,248.1104155,0,0
276,Boolite,-36.35224,142.68737,29.54186945,59.34167464,258.9865692,0,0
277,Boomahnoomoonah,-36.12417,146.09911,15.01628146,32.62218701,213.1618252,0,0
278,Boonah,-38.42564,143.97981,20.26285494,12.63992402,109.7078115,0,0
279,Boorcan,-38.22469,143.01822,10.27143129,50.04082532,176.3544778,0,0
280,Boorhaman,-36.22917,146.31867,13.3243566,13.85653058,213.28632,0,0
281,Boorhaman North,-36.10156,146.24539,23.68010337,28.94302958,221.7779752,0,0
282,Boorolite,-37.15571,146.20464,15.16317322,15.12606167,131.7154722,0,0
283,Boorool,-38.45255,146.05026,9.498736109,9.598184788,118.8424244,0,0
284,Boort,-36.12358,143.75149,2.521472319,39.52921367,216.4026207,1,0
285,Boosey,-36.041,145.78788,19.93055121,51.22347238,210.1936322,0,0
286,Boralma,-36.23752,146.39952,14.6362455,14.50866932,216.6638303,0,0
287,Bornes Hill,-37.5294,142.48248,45.93034795,46.75814128,220.5015701,0,0
288,Boronia,-37.85382,145.28417,1.369313707,0.916228445,28.64867533,1,1
289,Borung,-36.28744,143.77503,19.97780934,38.22550003,199.6248706,0,0
290,Bostocks Creek,-38.30872,143.12874,5.318266049,40.02855425,169.7404176,0,0
291,Botanic Ridge,-38.14095,145.26564,3.40021069,8.748658157,45.19187122,0,0
292,Boundary Bend,-34.72977,143.11004,34.1472868,79.29995659,380.8447996,0,0
293,Bowenvale,-37.00463,143.69344,5.975575077,6.360160948,143.611991,0,0
294,Boweya,-36.27214,146.12169,19.10766243,20.4051574,199.8006499,0,0
295,Boweya North,-36.22715,146.10607,22.92449578,24.19586321,203.4245174,0,0
296,Bowmans Forest,-36.46635,146.62943,13.23923369,29.92796697,210.3285607,0,0
297,Bowser,-36.31019,146.36207,6.185030669,5.827442427,208.1507304,0,0
298,Box Hill,-37.82151,145.12618,0.719866807,3.107510601,14.4394363,4,0
299,Box Hill North,-37.80538,145.12901,1.309482362,2.163183372,14.67433534,0,0
300,Box Hill South,-37.83678,145.12323,2.141251649,1.605115666,14.40120699,0,0
301,Boxwood,-36.32587,145.80288,30.74986566,36.44809482,181.3377703,0,0
302,Bradford,-36.92155,144.06036,7.893470241,26.05279523,127.1350935,0,0
303,Bradvale,-37.79455,143.3571,40.49218122,45.42554379,141.0322333,0,0
304,Braeside,-38.0015,145.12398,4.643281183,1.654828842,25.37204555,0,1
305,Brandy Creek,-38.10382,145.91085,7.826381063,6.702992692,89.26081394,0,0
306,Branxholme,-37.84311,141.79107,24.20213549,23.37929626,278.5229199,0,0
307,Bravington,-38.0825,145.92303,7.188595214,8.868088686,89.44430069,0,0
308,Braybrook,-37.78489,144.85386,2.862518244,2.021079937,9.997846395,0,0
309,Breakaway Creek,-38.03123,141.8146,20.44373102,37.03883507,277.1529491,0,0
310,Breakwater,-38.18007,144.37333,1.764802456,2.806772481,65.8365264,0,0
311,Breamlea,-38.29398,144.38879,12.42123606,11.99490388,73.40800253,0,0
312,Brenanah,-36.56635,143.70736,14.89007749,46.08315777,177.6252371,0,0
313,Brewster,-37.49623,143.53005,14.89865683,26.49950729,130.8860463,0,0
314,Briagolong,-37.80907,147.10653,33.39686143,33.40848992,188.371755,0,0
315,Briar Hill,-37.70608,145.12166,1.25024239,1.765320176,18.33469688,0,0
316,Bridge Creek,-36.90398,146.104,17.14798353,16.6215276,142.7794603,0,0
317,Bridgewater,-36.63745,143.97333,11.46191867,26.32288611,157.2680359,0,0
318,Bridgewater North,-36.54937,144.00289,11.79382981,28.97099692,164.149748,0,0
319,Bridgewater On Loddon,-36.60415,143.94082,6.949102925,30.40908649,161.9576822,0,0
320,Bright,-36.69513,147.03141,31.21063623,7.15597565,221.2892033,0,1
321,Brighton,-37.90784,144.99604,0.600411641,0.578857978,11.0240866,3,2
322,Brighton East,-37.91641,145.01953,1.516575612,1.957885014,12.61633999,0,0
323,Brim,-36.05921,142.44053,22.11758128,76.07424937,297.0195818,0,0
324,Brimboal,-37.39461,141.40755,21.78315096,66.71834712,316.5517806,0,0
325,Brimin,-36.05207,146.24985,22.33386176,34.2187818,226.7340434,0,0
326,Brimpaen,-37.05626,142.19519,38.2379725,37.88204413,258.3608691,0,0
327,Bringalbert,-36.84146,141.18238,23.53347262,91.78665051,351.1884305,0,0
328,Brit Brit,-37.40784,141.74067,21.75724833,44.81742813,287.3017893,0,0
329,Broadford,-37.21136,145.05619,13.32428228,48.78238499,67.34077709,0,0
330,Broadmeadows,-37.67998,144.9317,1.789829713,1.090621254,14.96284219,1,1
331,Broadwater,-38.11903,142.06874,32.31466799,42.0738483,255.9230718,0,0
332,Brodribb River,-37.69763,148.60102,11.92490862,56.84610655,320.1392824,0,0
333,Broken Creek,-36.43478,145.89035,16.33267738,36.00463391,173.8814182,0,0
334,Bromley,-36.887,143.7864,18.07503324,18.44386326,146.2502385,0,0
335,Brookfield,-37.70129,144.5408,2.199902255,2.598118127,39.05147305,0,0
336,Brooklyn,-37.81401,144.84097,4.47314528,3.202970974,10.6516847,0,0
