,Suburb/Town Name,Postcode,Incidents Recorded,population,lat,lng,Number of Hospitals,Number of Cinemas,Distance to CBD
275,Boole Poole,3880,3,0.0,-37.91165,147.78578000000005,0,0,248.10308875265414
276,Boolite,3392,4,37.0,-36.35224,142.68737,0,0,258.99233608989596
277,Boomahnoomoonah,3728,3,22.0,-36.12417,146.09911,0,0,213.15829797338816
278,Boonah,3235,6,21.0,-38.42564,143.97981,0,0,109.71354506523792
279,Boorcan,3265,39,146.0,-38.22469,143.01822,0,0,176.3615488943853
280,Boorhaman,3678,17,129.0,-36.22917,146.31867,0,0,213.28212245172222
281,Boorhaman North,3685,13,49.0,-36.10156,146.24539,0,0,221.7741489003465
282,Boorolite,3723,35,143.0,-37.15571,146.20463999999996,0,0,131.7093294629643
283,Boorool,3953,5,51.0,-38.45255,146.05026,0,0,118.83657954961677
284,Boort,3537,176,873.0,-36.12358,143.75149,1,0,216.40629951566115
285,Boosey,3730,24,105.0,-36.041,145.78788,0,0,210.19102816410174
286,Boralma,3682,27,69.0,-36.23752,146.39952,0,0,216.65945295945582
287,Bornes Hill,3379,2,30.0,-37.5294,142.48248,0,0,220.50884718595742
288,Boronia,3155,14931,22195.0,-37.85382,145.28417,1,1,28.641434527113635
289,Borung,3518,41,82.0,-36.28744,143.77503000000004,0,0,199.62877363441083
290,Bostocks Creek,3260,19,83.0,-38.30872,143.12874,0,0,169.74733943466887
291,Botanic Ridge,3977,909,3919.0,-38.14095,145.26564,0,0,45.18757100722868
292,Boundary Bend,3599,66,132.0,-34.72977,143.11004,0,0,380.84805260379864
293,Bowenvale,3465,72,181.0,-37.00463,143.69343999999995,0,0,143.6177423024814
294,Boweya,3675,16,41.0,-36.27214,146.12169,0,0,199.79682055013944
295,Boweya North,3675,14,43.0,-36.22715,146.10607,0,0,203.42080434711585
296,Bowmans Forest,3735,5,96.0,-36.46635,146.62943,0,0,210.32334885434392
297,Bowser,3678,22,47.0,-36.31019000000001,146.36207,0,0,208.14629717562997
298,Box Hill,3128,11271,11395.0,-37.82151,145.12618,4,0,14.432115380058958
299,Box Hill North,3129,3064,11874.0,-37.80538,145.12901000000005,0,0,14.66700418553618
300,Box Hill South,3128,3127,8434.0,-37.83678,145.12323,0,0,14.394001667323524
301,Boxwood,3725,2,20.0,-36.32587,145.80288000000004,0,0,181.334710656763
302,Bradford,3463,3,9.0,-36.92155,144.06036,0,0,127.13971332088545
303,Bradvale,3361,7,59.0,-37.79455,143.3571,0,0,141.03957359056258
304,Braeside,3195,1866,21.0,-38.0015,145.12398000000005,0,1,25.36795528314065
305,Brandy Creek,3821,22,100.0,-38.10382,145.91085,0,0,89.2539924643974
306,Branxholme,3302,114,351.0,-37.84311,141.79107,0,0,278.5302575718055
307,Bravington,3821,2,17.0,-38.0825,145.92303,0,0,89.43740342371329
308,Braybrook,3019,10364,9195.0,-37.78489,144.85386,0,0,10.004833675874504
309,Breakaway Creek,3303,21,50.0,-38.03123,141.8146,0,0,277.16025054986693
310,Breakwater,3219,1549,1014.0,-38.18007,144.37333,0,0,65.84227294407386
311,Breamlea,3227,78,162.0,-38.29398,144.38879,0,0,73.41301554267093
