Suburb/Town Name,Postcode,Incidents Recorded,population,lat,lng
Toora,3962,294,681.0,-38.65213,146.31931
Toora North,3962,18,103.0,-38.60714,146.33723
Tooradin,3980,847,1568.0,-38.19872,145.38644
Toorak,3142,6551,12909.0,-37.841029999999996,145.01793999999998
Toorloo Arm,3909,166,362.0,-37.79438,148.05128
Toorongo,3833,2,0.0,-37.77896,146.08284
Tootgarook,3941,2292,2869.0,-38.37745,144.85138
Torquay,3228,4399,13258.0,-38.3127,144.32917
Torrita,3490,10,32.0,-35.119890000000005,141.93143
Torrumbarry,3562,142,279.0,-36.02962,144.52858
Torwood,3821,12,50.0,-38.25808,145.87538999999998
Tostaree,3888,12,25.0,-37.78536,148.18956
Tottenham,3012,1099,3.0,-37.80591,144.8506
Tourello,3363,17,39.0,-37.35429,143.78903
Towan,3596,4,11.0,-35.1494,143.22346000000002
Towaninny South,3527,1,0.0,-35.93967,143.33198000000002
Tower Hill,3283,64,81.0,-38.32832,142.35607
Towong,3707,16,132.0,-36.11955,147.97486999999998
Towong Upper,3707,2,34.0,-36.2098,148.01086
Trafalgar,3824,2104,3912.0,-38.16259,146.14768
Trafalgar East,3824,194,426.0,-38.17315,146.19051000000002
Trafalgar South,3824,60,276.0,-38.243970000000004,146.15797
Tragowel,3579,42,104.0,-35.843,143.96777
Traralgon,3844,27955,24933.0,-38.20169,146.51447
Traralgon East,3844,932,1726.0,-38.19004,146.5894
Traralgon South,3844,98,562.0,-38.28615,146.55521000000002
Travancore,3032,1165,2480.0,-37.78203,144.93509
Trawalla,3373,91,141.0,-37.44621,143.49933000000001
Trawool,3660,68,108.0,-37.13077,145.24061
Traynors Lagoon,3477,16,29.0,-36.57737,142.98526
Tremont,3785,112,77.0,-37.87827,145.31717
Trentham,3458,356,1180.0,-37.38508,144.33581
Trentham East,3458,51,153.0,-37.41476,144.39638
Tresco,3583,89,209.0,-35.49817,143.69436000000002
Tresco West,3584,47,152.0,-35.506170000000004,143.63687
Trida,3953,21,62.0,-38.32152,145.97808
Truganina,3029,9608,20687.0,-37.80787,144.72343999999998
Tubbut,3888,15,11.0,-37.06069,148.59203
Tuerong,3915,221,354.0,-38.29698,145.08587
Tulkara,3384,2,3.0,-36.942029999999995,143.05201
Tullamarine,3043,8337,6605.0,-37.69765,144.86944
Tungamah,3728,157,408.0,-36.161640000000006,145.88603999999998
Turoar,3546,2,0.0,-35.181459999999994,143.07915
Turriff,3488,3,29.0,-35.4651,142.4505
Turtons Creek,3960,40,30.0,-38.54672,146.22728
Tutye,3490,4,20.0,-35.1881,141.48494
Tyaak,3658,17,73.0,-37.219190000000005,145.13783999999998
Tyabb,3913,1305,3338.0,-38.26631,145.19745
Tyers,3844,324,824.0,-38.1376,146.46865
Tylden,3444,145,535.0,-37.32322,144.41693
Tynong,3813,228,456.0,-38.09675,145.62704
Tynong North,3813,198,434.0,-38.02786,145.62558
Tyntynder,3586,58,151.0,-35.241479999999996,143.54776
Tyntynder South,3586,41,268.0,-35.27798,143.51559
Tyrendarra,3285,49,212.0,-38.207440000000005,141.78531
Tyrendarra East,3285,5,27.0,-38.258559999999996,141.89764
Tyrrell Downs,3533,2,11.0,-35.32528,142.92397
Ullina,3370,9,34.0,-37.28063,143.89068999999998
Ullswater,3318,14,43.0,-36.916959999999996,141.41512
Ultima,3544,107,174.0,-35.48005,143.26668999999998
Ulupna,3641,19,23.0,-35.8335,145.45181000000002
Undera,3629,176,442.0,-36.24272,145.21371000000002
Underbool,3509,64,215.0,-35.1398,141.82082
Upotipotpon,3669,18,57.0,-36.49403,145.77378000000002
Upper Ferntree Gully,3156,1931,3416.0,-37.89866,145.31168
Upper Gundowring,3691,9,99.0,-36.51652,147.10974
Upper Lurg,3673,24,121.0,-36.58599,146.19066
Upper Plenty,3756,163,335.0,-37.415079999999996,145.0599
Upper Ryans Creek,3673,11,39.0,-36.67137,146.21066000000002
Upton Hill,3664,2,23.0,-36.89647,145.39407
Upwey,3158,2048,6652.0,-37.90475,145.32731
Valencia Creek,3860,35,152.0,-37.77296,146.98648
Vasey,3407,5,49.0,-37.33585,141.88616000000002
Vaughan,3451,10,64.0,-37.159290000000006,144.21594
Vectis,3401,48,179.0,-36.71257,142.06794
Ventnor,3922,422,855.0,-38.49304,145.20027
Venus Bay,3956,430,944.0,-38.672979999999995,145.78045
Vermont,3133,2457,10442.0,-37.83873,145.19949
Vermont South,3133,3528,11678.0,-37.85528,145.18976
Vervale,3814,20,39.0,-38.13903,145.65735
Vesper,3833,32,42.0,-37.87472,146.07186000000002
Victoria Point,3294,1,17.0,-37.50826,142.22426000000002
Victoria Valley,3294,21,79.0,-37.534440000000004,142.32615
Viewbank,3084,1378,6923.0,-37.74066,145.09435
Vinifera,3591,36,159.0,-35.21263,143.39732
Violet Town,3669,322,874.0,-36.61681,145.71043999999998
Vite Vite,3325,9,39.0,-37.85393,143.14675
W Tree,3885,12,48.0,-37.33012,148.29093
Waaia,3637,83,390.0,-36.05084,145.31538
Waanyarra,3551,8,22.0,-36.82454,143.8236
Waarre,3269,3,15.0,-38.57523,143.05013
Wabonga,3678,3,0.0,-37.044309999999996,146.53865
Waggarandall,3646,1,40.0,-36.24909,145.77854
Wahgunyah,3687,270,1098.0,-36.003009999999996,146.41952
Wahring,3608,68,85.0,-36.69704,145.24822
Wail,3401,30,42.0,-36.53454,142.08611000000002
Wairewa,3887,25,87.0,-37.694959999999995,148.16055
Waitchie,3544,4,48.0,-35.385490000000004,143.11698
Wal Wal,3385,13,27.0,-36.808679999999995,142.61646000000002
Waldara,3678,35,618.0,-36.31967,146.28382
Walhalla,3825,57,20.0,-37.93815,146.4725
Walkerville,3956,63,84.0,-38.81194,145.99139
Walkerville North,3956,7,5.0,-38.84037,146.00072
Walkerville South,3956,7,3.0,-38.85537,145.99442
Wallace,3352,82,187.0,-37.56307,144.05146000000002
Wallacedale,3303,35,113.0,-37.937529999999995,141.81861999999998
Wallagaraugh,3891,3,3.0,-37.43566,149.74835
Wallaloo,3387,2,16.0,-36.75478,142.87211000000002
Wallaloo East,3387,9,9.0,-36.80699,142.91818999999998
Wallan,3756,6784,11074.0,-37.40701,144.961
Wallinduc,3351,22,37.0,-37.872690000000006,143.51845
Wallington,3222,311,1364.0,-38.22851,144.50882
Wallup,3401,7,31.0,-36.357459999999996,142.25333999999998
Walmer,3463,59,223.0,-36.97596,144.16618
Walpa,3875,31,154.0,-37.7915,147.38628
Walpeup,3507,24,158.0,-35.11102,142.03323999999998
Walwa,3709,60,177.0,-35.99525,147.73906000000002
Wandana Heights,3216,416,2037.0,-38.17719,144.29917
Wandella,3579,18,69.0,-35.73573,143.82605
Wandiligong,3744,81,453.0,-36.798,146.98318999999998
Wandin East,3139,91,431.0,-37.81292,145.45391
Wandin North,3139,720,3051.0,-37.77942,145.42959
Wando Bridge,3312,1,48.0,-37.44249,141.42316
Wando Vale,3312,16,104.0,-37.487559999999995,141.49778
Wandong,3758,859,1340.0,-37.35628,145.02391
Wangandary,3678,25,227.0,-36.32889,146.23447
Wangarabell,3891,5,9.0,-37.394529999999996,149.48463
Wangaratta,3677,14715,18102.0,-36.36637,146.31853
Wangaratta South,3678,167,509.0,-36.39747,146.24578
Wangoom,3279,47,226.0,-38.33021,142.5779
Wannon,3301,33,108.0,-37.65983,141.83878
Wantirna,3152,5010,13818.0,-37.85342,145.22378
Wantirna South,3152,12414,19271.0,-37.8709,145.2227
